building_no,name,area,address,raw_address,display_address,management_company,management_phone,manager_name,manager_phone,active_users,total_households,ip,host,note,contract_status,monthly_revenue,building_type,service_level,public_facility_status,manager_age,manager_experience,manager_interest,visit_time,committee_time,resident_meeting_time,created_at,updated_at
B080,合群信區,高雄,高雄市左營區合群里海景街321號,高雄市左營區合群里海景街321號,高雄市左營區合群里海景街321號,,,,,0,0,,http://114.35.230.17:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B081,漢民傑座,高雄,=高雄市小港區鳳宮里漢民路18號,=高雄市小港區鳳宮里漢民路18號,=高雄市小港區鳳宮里漢民路18號,,,,,0,0,,http://220.133.11.134:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B082,獅甲國宅,高雄,高雄市前鎮區忠純里正勤路39號,高雄市前鎮區忠純里正勤路39號,高雄市前鎮區忠純里正勤路39號,,,,,0,0,59.125.159.177:9000,http://220.133.11.72:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B083,水舞間,高雄,高雄市鳳山區文福里文化西路69號,高雄市鳳山區文福里文化西路69號,高雄市鳳山區文福里文化西路69號,,,,,0,0,59.127.228.73:9000,http://114.35.230.120:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B084,鳳凰時代,高雄,高雄市橋頭區新莊里橋新三路529號,高雄市橋頭區新莊里橋新三路529號,高雄市橋頭區新莊里橋新三路529號,,,,,0,0,122.117.49.250:9000,http://125.229.205.145:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B085,翰林雅苑,高雄,高雄市左營區新上里安吉街163號,高雄市左營區新上里安吉街163號,高雄市左營區新上里安吉街163號,,,,,0,0,,,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-14 15:18:08
B086,太普D&G,高雄,高雄市前鎮區竹南里管仲南路368號,高雄市前鎮區竹南里管仲南路368號,高雄市前鎮區竹南里管仲南路368號,,,,,0,0,114.35.241.10:9000,http://220.133.69.23:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B087,水丰林,高雄,高雄市楠梓區高雄大學路172號,高雄市楠梓區高雄大學路172號,高雄市楠梓區高雄大學路172號,,,,,0,0,,http://211.72.19.252:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B088,棋琴11重奏,高雄,高雄市左營區新下里新南街78號,高雄市左營區新下里新南街78號,高雄市左營區新下里新南街78號,,,,,0,0,59.127.177.112:9000,http://114.33.157.220:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B089,交響苑,高雄,高雄市楠梓區享平里旗楠路126巷1-15號,高雄市楠梓區享平里旗楠路126巷1-15號,高雄市楠梓區享平里旗楠路126巷1-15號,,,,,0,0,220.132.29.229:9000,http://59.127.30.228:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B090,微風京品,高雄,高雄市左營區崇實里介壽路221巷6號,高雄市左營區崇實里介壽路221巷6號,高雄市左營區崇實里介壽路221巷6號,,,,,0,0,,http://220.134.144.197:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B091,鉑悅,高雄,高雄市新興區建興里南台路170號,高雄市新興區建興里南台路170號,高雄市新興區建興里南台路170號,,,,,0,0,,http://220.134.144.213:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B092,日森大地,高雄,高雄市楠梓區仁昌里德民路788號,高雄市楠梓區仁昌里德民路788號,高雄市楠梓區仁昌里德民路788號,,,,,0,0,220.132.27.128:9000,,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B093,皇苑創世紀,高雄,台灣左營區福山里文自路887號,台灣左營區福山里文自路887號,台灣左營區福山里文自路887號,,,,,0,0,59.127.165.196:9000,http://59.127.246.63:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B094,永信國,高雄,高雄市楠梓區德民路420號,高雄市楠梓區德民路420號,高雄市楠梓區德民路420號,,,,,0,0,,http://59.127.246.62:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B095,尊峰,高雄,高雄市三民區正興里興隆街74號,高雄市三民區正興里興隆街74號,高雄市三民區正興里興隆街74號,,,,,0,0,218.161.115.236:9000,http://122.117.199.55:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B096,溫莎堡,高雄,高雄市鼓山區龍子里富農路166號,高雄市鼓山區龍子里富農路166號,高雄市鼓山區龍子里富農路166號,,,,,0,0,220.135.131.72:9000,http://220.135.131.72:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B097,瑞祥瑞士區,高雄,高雄市前鎮區瑞南里瑞士街21號,高雄市前鎮區瑞南里瑞士街21號,高雄市前鎮區瑞南里瑞士街21號,,,,,0,0,,http://59.127.28.219:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B098,祥成,高雄,高雄市鳳山區福誠里三誠路86號,高雄市鳳山區福誠里三誠路86號,高雄市鳳山區福誠里三誠路86號,,,,,0,0,,http://125.229.207.54:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B099,宇宙國,高雄,高雄市左營區福山里民族一路901巷26弄2號,高雄市左營區福山里民族一路901巷26弄2號,高雄市左營區福山里民族一路901巷26弄2號,,,,,0,0,,http://220.134.144.161:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B100,橋頭寶,高雄,高雄市橋頭區白樹里樹德路36號,高雄市橋頭區白樹里樹德路36號,高雄市橋頭區白樹里樹德路36號,,,,,0,0,,,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-14 15:18:08
B101,Super One,高雄,高雄市楠梓區加昌里秀群路499巷,高雄市楠梓區加昌里秀群路499巷,高雄市楠梓區加昌里秀群路499巷,,,,,0,0,,http://122.117.202.9:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B102,國城MRT,高雄,高雄市楠梓區金田里加昌路83號,高雄市楠梓區金田里加昌路83號,高雄市楠梓區金田里加昌路83號,,,,,0,0,220.135.131.212:9000,http://122.117.198.120:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B103,高鐵棧,高雄,高雄市左營區菜公里高鐵路168號,高雄市左營區菜公里高鐵路168號,高雄市左營區菜公里高鐵路168號,,,,,0,0,59.127.165.191:9000,http://220.134.144.163:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B104,陽光新未來,高雄,高雄市楠梓區清豐里創新路779號,高雄市楠梓區清豐里創新路779號,高雄市楠梓區清豐里創新路779號,,,,,0,0,114.33.57.152:9000,http://220.135.188.123:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B105,兩廳院,高雄,高雄市鳳山區新甲里新昌街27號,高雄市鳳山區新甲里新昌街27號,高雄市鳳山區新甲里新昌街27號,,,,,0,0,220.135.240.150:9000,http://220.134.144.149:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B106,河畔Happy,高雄,高雄市楠梓區翠屏里德富街286巷1號,高雄市楠梓區翠屏里德富街286巷1號,高雄市楠梓區翠屏里德富街286巷1號,,,,,0,0,122.117.213.110:9000,http://220.134.185.174:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B107,小王子,高雄,高雄市左營區福山里文天路170號,高雄市左營區福山里文天路170號,高雄市左營區福山里文天路170號,,,,,0,0,122.117.49.10:9000,http://220.133.11.75:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B108,萬吉樂山,高雄,屏東縣屏東市永安里建興南路218巷2號,屏東縣屏東市永安里建興南路218巷2號,屏東縣屏東市永安里建興南路218巷2號,,,,,0,0,,http://114.35.137.22:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B109,海森館,高雄,高雄市楠梓區裕昌里藍昌路289號,高雄市楠梓區裕昌里藍昌路289號,高雄市楠梓區裕昌里藍昌路289號,,,,,0,0,,http://220.132.233.106:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B110,京賀大樓,高雄,高雄市楠梓區瑞屏里瑞仁路130號,高雄市楠梓區瑞屏里瑞仁路130號,高雄市楠梓區瑞屏里瑞仁路130號,,,,,0,0,,http://220.133.69.68:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B111,松崗左岸,高雄,高雄市楠梓區大學十街478號,高雄市楠梓區大學十街478號,高雄市楠梓區大學十街478號,,,,,0,0,,http://122.117.199.61:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B112,浪漫滿屋,高雄,高雄市楠梓區五常里興楠路309巷50弄5號,高雄市楠梓區五常里興楠路309巷50弄5號,高雄市楠梓區五常里興楠路309巷50弄5號,,,,,0,0,122.117.57.131:9000,http://218.161.107.30:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B113,J時尚,高雄,高雄市鳳山區埤頂里埤頂街33號,高雄市鳳山區埤頂里埤頂街33號,高雄市鳳山區埤頂里埤頂街33號,,,,,0,0,220.134.182.61:9000,http://220.134.144.102:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B114,森霸二期,高雄,高雄市前鎮區西甲里修文街81之1號,高雄市前鎮區西甲里修文街81之1號,高雄市前鎮區西甲里修文街81之1號,,,,,0,0,,http://220.134.144.170:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B115,明水漾,高雄,高雄市楠梓區翠屏里德富街150號,高雄市楠梓區翠屏里德富街150號,高雄市楠梓區翠屏里德富街150號,,,,,0,0,211.72.60.223:9000,http://220.132.27.170:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B116,翠華國宅,高雄,高雄市左營區海勝里城峰路56號,高雄市左營區海勝里城峰路56號,高雄市左營區海勝里城峰路56號,,,,,0,0,,http://122.117.199.172:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B117,可麗都,高雄,高雄市仁武區八卦里京吉三路16號,高雄市仁武區八卦里京吉三路16號,高雄市仁武區八卦里京吉三路16號,,,,,0,0,,http://220.134.182.61:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B118,文山.C,高雄,高雄市鳳山區文衡里文殿街69號,高雄市鳳山區文衡里文殿街69號,高雄市鳳山區文衡里文殿街69號,,,,,0,0,220.134.242.126:9000,http://220.134.144.164:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 14:04:23
B119,哲林,高雄,高雄市鳳山區福誠里福誠三街95號,高雄市鳳山區福誠里福誠三街95號,高雄市鳳山區福誠里福誠三街95號,,,,,0,0,,http://59.127.100.209:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B120,遠見御踞,高雄,高雄市鼓山區龍水里美術東五路116號,高雄市鼓山區龍水里美術東五路116號,高雄市鼓山區龍水里美術東五路116號,,,,,0,0,,http://220.134.144.200:9000/,line_kaohsiung_seed_cl15c,未確認,0,大樓,未確認,未確認,0,0,0,,,,2026-05-14 10:35:33,2026-05-17 21:32:37
B121,上東城,東區,臺南市仁德區仁德里文心路80號,臺南市仁德區仁德里文心路80號,臺南市仁德區仁德里文心路80號,上東城管理委員會,,,,361,361,59.127.106.249:9000,http://114.33.181.197:9000/,從 LINE 東區工務聊天匯入; mentions=1236,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B122,陽光公園,東區,臺南市東區崇文里生產路267號,臺南市東區崇文里生產路267號,臺南市東區崇文里生產路267號,陽光公園管理委員會,,,,113,113,125.227.245.51:9000,http://122.117.185.122:9000/,從 LINE 東區工務聊天匯入; mentions=680,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B123,太皇園,安平,臺南市北區和順里公園南路368號,臺南市北區和順里公園南路368號,臺南市北區和順里公園南路368號,太皇園管理委員會,,,,184,184,211.21.222.95:9000,,從 LINE 東區工務聊天匯入; mentions=671,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B124,寓見海,安平,臺南市安平區育平里育平路68號,臺南市安平區育平里育平路68號,臺南市安平區育平里育平路68號,寓見海管理委員會,,,,151,151,220.134.144.200:9000,http://59.127.106.52:9000/,從 LINE 東區工務聊天匯入; mentions=510,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B125,地中海,安平,臺南市安平區育平里育平路212號,臺南市安平區育平里育平路212號,臺南市安平區育平里育平路212號,地中海管理委員會,,,,70,70,218.161.22.118:9000,http://122.117.170.84:9000/,從 LINE 東區工務聊天匯入; mentions=494,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B126,文化新世紀,東區,臺南市東區崇明里中華東路三段383號,臺南市東區崇明里中華東路三段383號,臺南市東區崇明里中華東路三段383號,文化新世紀管理委員會,,,,96,96,59.127.30.245:9000,http://122.117.198.83:9000/,從 LINE 東區工務聊天匯入; mentions=470,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B127,南賓,東區,臺南市東區龍山里長榮路一段225號,臺南市東區龍山里長榮路一段225號,臺南市東區龍山里長榮路一段225號,南賓管理委員會,,,,141,141,,http://125.229.86.91:9000/,從 LINE 東區工務聊天匯入; mentions=469,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 21:32:37
B128,寶麗金,安平,臺南市中西區淺草里金華路三段252號,臺南市中西區淺草里金華路三段252號,臺南市中西區淺草里金華路三段252號,寶麗金管理委員會,,,,49,49,220.132.250.250:9000,http://59.127.100.85:9000/,從 LINE 東區工務聊天匯入; mentions=434,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B129,鄉城陽光鎮,東區,臺南市東區自強里中華東路二段185巷12號,臺南市東區自強里中華東路二段185巷12號,臺南市東區自強里中華東路二段185巷12號,陽光鎮管理委員會,,,,138,138,,http://220.134.145.206:9000/,從 LINE 東區工務聊天匯入; mentions=384,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 21:32:37
B130,上河院,安平,臺南市安平區平通里平通路580巷2號,臺南市安平區平通里平通路580巷2號,臺南市安平區平通里平通路580巷2號,上河院管理委員會,,,,44,44,220.134.144.189:9000,http://59.127.6.7:9000/,從 LINE 東區工務聊天匯入; mentions=372,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B131,國泰名人,安平,臺南市北區雙安里臨安路二段143巷80弄1號,臺南市北區雙安里臨安路二段143巷80弄1號,臺南市北區雙安里臨安路二段143巷80弄1號,國泰名人管理委員會,,,,34,34,125.229.205.65:9000,http://114.33.54.227:9000/,從 LINE 東區工務聊天匯入; mentions=352,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B132,東方紐約,東區,臺南市東區德光里崇明路139號,臺南市東區德光里崇明路139號,臺南市東區德光里崇明路139號,東方紐約管理委員會,,,,84,84,122.117.96.151:9000,http://220.134.144.214:9000/,從 LINE 東區工務聊天匯入; mentions=347,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B133,吉寶市,東區,臺南市東區仁和里利東街27號,臺南市東區仁和里利東街27號,臺南市東區仁和里利東街27號,吉寶市管理委員會,,,,70,70,125.229.207.54:9000,http://220.134.164.211:9000/,從 LINE 東區工務聊天匯入; mentions=338,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B134,世界帝心,東區,臺南市東區龍山里崇善路25巷58-126號,臺南市東區龍山里崇善路25巷58-126號,臺南市東區龍山里崇善路25巷58-126號,帝心管理委員會,,,,82,82,,http://220.132.27.42:9000/,從 LINE 東區工務聊天匯入; mentions=332,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 21:32:37
B135,YES遠東,安平,臺南市中西區中成路18號,臺南市中西區中成路18號,臺南市中西區中成路18號,YES遠東管理委員會,,,,58,58,220.134.144.206:9000,http://220.134.150.26:9000/,從 LINE 東區工務聊天匯入; mentions=325,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B136,長谷劃時代,安平,臺南市安平區平五街6號,臺南市安平區平五街6號,臺南市安平區平五街6號,長谷劃時代管理委員會,,,,48,48,,http://125.229.84.42:9000/,從 LINE 東區工務聊天匯入; mentions=325,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 21:32:37
B137,水工坊,東區,臺南市仁德區後壁里德善路251巷2號,臺南市仁德區後壁里德善路251巷2號,臺南市仁德區後壁里德善路251巷2號,水工坊管理委員會,,,,34,34,220.133.29.235:9000,,從 LINE 東區工務聊天匯入; mentions=282,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B138,希望之都,東區,臺南市東區和平里自由路二段26號,臺南市東區和平里自由路二段26號,臺南市東區和平里自由路二段26號,希望之都管理委員會,,,,58,58,125.229.207.57:9000,http://59.127.30.223:9000/,從 LINE 東區工務聊天匯入; mentions=276,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B139,金生金室,安平,臺南市北區立人里公園南路353號,臺南市北區立人里公園南路353號,臺南市北區立人里公園南路353號,金生金室管理委員會,,,,89,89,220.134.144.193:9000,http://114.35.241.10:9000/,從 LINE 東區工務聊天匯入; mentions=268,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B140,峰時代,東區,臺南市仁德區仁德里文華路三段419號,臺南市仁德區仁德里文華路三段419號,臺南市仁德區仁德里文華路三段419號,峰時代管理委員會,,,,46,46,59.127.30.239:9000,http://59.127.246.90:9000/,從 LINE 東區工務聊天匯入; mentions=261,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B141,湖美麗,安平,臺南市中西區西湖里民權路四段128號,臺南市中西區西湖里民權路四段128號,臺南市中西區西湖里民權路四段128號,湖美麗管理委員會,,,,56,56,220.134.144.209:9000,http://125.229.141.100:9000/,從 LINE 東區工務聊天匯入; mentions=260,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B143,星光水悅,安平,臺南市安平區育平里健康三街160號,臺南市安平區育平里健康三街160號,臺南市安平區育平里健康三街160號,星光水悅管理委員會,,,,55,55,220.134.144.149:9000,http://59.127.30.238:9000/,從 LINE 東區工務聊天匯入; mentions=251,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B144,煙波四季,東區,臺南市東區和平里東門路三段266巷17號,臺南市東區和平里東門路三段266巷17號,臺南市東區和平里東門路三段266巷17號,煙波四季管理委員會,,,,55,55,220.133.117.71:9000,,從 LINE 東區工務聊天匯入; mentions=247,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B145,鄉城大鎮,東區,臺南市東區仁和里仁東街17號之1,臺南市東區仁和里仁東街17號之1,臺南市東區仁和里仁東街17號之1,鄉城大鎮管理委員會,,,,89,89,114.33.172.179:9000,http://122.117.199.64:9000/,從 LINE 東區工務聊天匯入; mentions=243,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B146,最愛,安平,臺南市安平區怡平里建平十七街157號,臺南市安平區怡平里建平十七街157號,臺南市安平區怡平里建平十七街157號,最愛管理委員會,,,,29,29,,http://114.35.240.146:9000/,從 LINE 東區工務聊天匯入; mentions=238,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 21:32:37
B147,大亞洲,東區,臺南市東區龍山里府東街99號,臺南市東區龍山里府東街99號,臺南市東區龍山里府東街99號,大亞洲管理委員會,,,,49,49,59.127.106.52:9000,http://220.134.144.201:9000/,從 LINE 東區工務聊天匯入; mentions=235,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B148,御品天廈,安平,臺南市安平區建平里建平十七街43號,臺南市安平區建平里建平十七街43號,臺南市安平區建平里建平十七街43號,御品天下管理委員會,,,,42,42,,,從 LINE 東區工務聊天匯入; mentions=233,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-16 23:50:04
B149,億載金城,東區,,,,億載金城管理委員會,,,,59,59,220.134.144.165:9000,http://122.117.213.130:9000/,從 LINE 東區工務聊天匯入; mentions=230,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B150,崇明居,東區,,,,崇明居管理委員會,,,,48,48,59.127.246.17:9000,http://220.134.144.174:9000/,從 LINE 東區工務聊天匯入; mentions=222,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B151,林森之愛,東區,,,,林森之愛管理委員會,,,,38,38,220.135.188.215:9000,http://125.229.204.73:9000/,從 LINE 東區工務聊天匯入; mentions=213,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B152,世界公園,東區,,,,世界公園管理委員會,,,,46,46,114.33.157.22:9000,,從 LINE 東區工務聊天匯入; mentions=208,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B153,宏總新中國,東區,,,,宏總新中國管理委員會,,,,60,60,125.229.207.8:9000,http://122.117.213.110:9000/,從 LINE 東區工務聊天匯入; mentions=205,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B154,美麗佳園,東區,,,,美麗佳園管理委員會,,,,48,48,220.134.144.102:9000,http://211.21.222.93:9000/,從 LINE 東區工務聊天匯入; mentions=204,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B155,太子文化,東區,,,,太子文化管理委員會,,,,53,53,125.229.204.73:9000,http://122.117.49.117:9000/,從 LINE 東區工務聊天匯入; mentions=201,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B156,府城新象,東區,,,,府城新象管理委員會,,,,45,45,220.134.144.163:9000,http://220.134.144.136:9000/,從 LINE 東區工務聊天匯入; mentions=199,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B157,園中園,東區,,,,園中園管理委員會,,,,49,49,122.117.163.21:9000,http://114.33.179.140:9000/,從 LINE 東區工務聊天匯入; mentions=196,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B158,得意居,東區,,,,得意居管理委員會,,,,53,53,122.117.199.217:9000,http://220.134.144.141:9000/,從 LINE 東區工務聊天匯入; mentions=192,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B159,儷園,東區,,,,儷園管理委員會,,,,43,43,220.134.144.194:9000,http://220.134.144.134:9000/,從 LINE 東區工務聊天匯入; mentions=184,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B160,澄品觀邸,東區,,,,澄品觀邸管理委員會,,,,40,40,218.161.6.188:9000,http://220.134.148.40:9000/,從 LINE 東區工務聊天匯入; mentions=178,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B161,相對論,東區,,,,相對論管理委員會,,,,42,42,59.127.100.209:9000,http://125.228.225.217:9000/,從 LINE 東區工務聊天匯入; mentions=178,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B162,五妃名人,東區,,,,五妃名人管理委員會,,,,32,32,220.134.144.204:9000,http://220.132.66.219:9000/,從 LINE 東區工務聊天匯入; mentions=174,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B163,峰雲會,東區,,,,峰雲會管理委員會,,,,30,30,220.133.112.184:9000,,從 LINE 東區工務聊天匯入; mentions=165,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B164,曼哈頓,東區,,,,曼哈頓管理委員會,,,,41,41,122.117.15.251:9000,,從 LINE 東區工務聊天匯入; mentions=160,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
B165,富貴龍門,東區,,,,富貴龍門管理委員會,,,,30,30,114.33.179.140:9000,http://114.35.240.155:9000/,從 LINE 東區工務聊天匯入; mentions=156,待確認,0,社區大樓,,待確認,,,,,,,2026-05-16 01:59:54,2026-05-17 14:04:23
